"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"1400000US25005652000","Census Tract 6520, Bristol County, Massachusetts","2868","555","2313","1892","1515","184","7","25","0","161","421","376","40","13","4","0","80","2","3","0","234","0","0","0","0","0","0","43","2","4","0","33","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"1400000US25005652100","Census Tract 6521, Bristol County, Massachusetts","2764","322","2442","2113","1864","119","7","19","0","104","329","290","38","19","19","4","73","1","3","0","130","0","0","3","0","0","0","37","6","0","0","23","0","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005652200","Census Tract 6522, Bristol County, Massachusetts","2917","207","2710","2460","2296","80","10","22","3","49","250","218","20","33","15","0","63","0","1","0","84","0","0","0","2","0","0","32","2","0","0","25","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005652300","Census Tract 6523, Bristol County, Massachusetts","2930","593","2337","2119","1894","124","1","33","0","67","218","184","16","1","10","0","49","6","2","0","100","0","0","0","0","0","0","34","4","0","0","24","0","0","0","0","1","0","0","0","1","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005652400","Census Tract 6524, Bristol County, Massachusetts","2745","589","2156","1962","1774","80","4","27","4","73","194","166","18","13","10","0","40","8","0","0","75","2","0","0","0","0","0","25","1","2","0","15","5","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"1400000US25005652500","Census Tract 6525, Bristol County, Massachusetts","3011","1132","1879","1610","1335","132","11","10","1","121","269","249","7","3","9","3","42","2","3","1","177","0","0","0","0","2","0","19","5","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005652600","Census Tract 6526, Bristol County, Massachusetts","3209","1523","1686","1414","1131","148","4","19","0","112","272","234","16","12","5","0","40","16","3","0","134","0","0","6","0","0","2","37","5","0","0","25","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005652700","Census Tract 6527, Bristol County, Massachusetts","3927","1391","2536","2224","1872","184","6","25","0","137","312","284","34","12","14","0","88","11","0","0","123","0","0","0","0","2","0","28","1","0","0","22","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005652800","Census Tract 6528, Bristol County, Massachusetts","3315","308","3007","2784","2622","106","1","14","0","41","223","184","20","23","10","0","53","4","0","0","72","0","0","0","1","1","0","37","2","0","0","31","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005653101","Census Tract 6531.01, Bristol County, Massachusetts","7131","237","6894","6548","6143","90","5","212","0","98","346","297","31","46","42","0","141","0","0","0","35","0","0","0","0","2","0","49","15","10","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
